order_id,product_id,quantity,unit_price
1,20,1,11.14
2,23,3,6.59
3,19,3,9.12
3,25,1,18.06
3,15,1,15.14
4,29,3,17.42
4,22,3,16.97
4,37,2,4.4
4,18,2,21.82
5,5,3,14.12
6,18,1,21.82
6,28,3,22.28
6,7,1,7.85
6,20,3,11.14
7,1,2,19.31
7,21,1,18.44
7,27,2,8.89
8,10,2,6.42
8,4,1,3.66
8,23,3,6.59
8,28,1,22.28
9,20,3,11.14
10,16,3,15.7
10,13,3,20.76
10,34,2,14.21
10,25,2,18.06
11,9,2,18.36
11,7,2,7.85
11,19,2,9.12
11,14,2,5.75
12,4,3,3.66
12,9,2,18.36
12,17,3,17.55
13,21,3,18.44
14,35,2,21.94
14,13,3,20.76
15,30,3,6.14
16,34,2,14.21
16,24,1,24.77
17,12,3,21.64
17,16,3,15.7
17,12,3,21.64
18,1,2,19.31
18,9,1,18.36
18,8,3,20.81
18,30,1,6.14
19,26,2,21.08
19,21,1,18.44
20,23,1,6.59
20,24,3,24.77
20,35,1,21.94
20,22,2,16.97
21,26,3,21.08
21,24,1,24.77
21,27,3,8.89
21,5,1,14.12
22,14,2,5.75
23,12,3,21.64
23,29,2,17.42
24,27,2,8.89
24,13,1,20.76
24,15,1,15.14
25,13,3,20.76
25,32,3,19.43
25,38,1,24.91
25,27,2,8.89
26,27,3,8.89
26,19,1,9.12
26,9,2,18.36
27,28,3,22.28
27,28,2,22.28
27,25,3,18.06
28,19,1,9.12
28,9,1,18.36
28,16,2,15.7
28,37,3,4.4
29,26,2,21.08
29,7,1,7.85
29,18,3,21.82
29,10,3,6.42
30,18,3,21.82
30,15,2,15.14
31,21,3,18.44
32,31,2,19.39
33,2,3,6.07
33,32,3,19.43
33,24,2,24.77
34,37,1,4.4
34,13,2,20.76
34,17,1,17.55
35,34,1,14.21
35,32,2,19.43
35,6,1,7.37
36,40,3,18.0
36,3,2,4.91
36,27,1,8.89
36,36,3,20.43
37,15,2,15.14
38,26,2,21.08
