product_id,product_name,category,price
1,Purpose Bites,Snacks,19.31
2,Brother Milk,Dairy Alternatives,6.07
3,Ago Bites,Beverages,4.91
4,Site Loaf,Snacks,3.66
5,Face Milk,Dairy Alternatives,14.12
6,Election Bites,Beverages,7.37
7,Dog Juice,Bakery,7.85
8,Chair Juice,Ready Meals,20.81
9,Since Bites,Dairy Alternatives,18.36
10,Blue Bowl,Ready Meals,6.42
11,Require Bowl,Snacks,5.04
12,Sit Bites,Ready Meals,21.64
13,Wait Juice,Ready Meals,20.76
14,Offer Loaf,Beverages,5.75
15,Begin Loaf,Snacks,15.14
16,Performance Juice,Ready Meals,15.7
17,Knowledge Bites,Snacks,17.55
18,Almost Bowl,Snacks,21.82
19,All Bites,Bakery,9.12
20,Better Bowl,Dairy Alternatives,11.14
21,Discover Milk,Ready Meals,18.44
22,Early Bites,Beverages,16.97
23,Mouth Juice,Dairy Alternatives,6.59
24,Play Loaf,Ready Meals,24.77
25,Agreement Juice,Dairy Alternatives,18.06
26,Option Bites,Dairy Alternatives,21.08
27,Decide Bowl,Bakery,8.89
28,Sense Milk,Beverages,22.28
29,Rate Bowl,Dairy Alternatives,17.42
30,Science Loaf,Bakery,6.14
31,Offer Milk,Dairy Alternatives,19.39
32,Kind Juice,Ready Meals,19.43
33,Discussion Loaf,Beverages,11.79
34,List Milk,Dairy Alternatives,14.21
35,Perform Bites,Snacks,21.94
36,Fall Milk,Dairy Alternatives,20.43
37,Table Loaf,Beverages,4.4
38,True Loaf,Beverages,24.91
39,According Juice,Ready Meals,24.36
40,Song Bites,Snacks,18.0
