return_id,order_id,product_id,return_date,reason
1,273,9,2026-08-24 11:00:00,damaged
2,829,5,2026-05-08 12:00:00,damaged
3,144,24,2026-03-27 13:00:00,changed_mind
4,358,25,2026-08-10 08:00:00,changed_mind
5,442,38,2026-05-16 10:00:00,changed_mind
6,307,35,2026-02-28 19:00:00,damaged
7,506,6,2026-08-28 10:00:00,wrong_item
8,300,37,2026-08-29 19:00:00,changed_mind
9,330,32,2026-04-15 20:00:00,damaged
10,297,34,2026-07-18 18:00:00,wrong_item
11,388,7,2026-09-01 11:00:00,wrong_item
12,475,17,2026-05-18 16:00:00,not_as_described
13,275,27,2026-09-23 20:00:00,damaged
14,791,31,2026-05-22 21:00:00,damaged
15,116,19,2026-07-15 15:00:00,damaged
16,813,29,2026-09-20 11:00:00,not_as_described
17,547,9,2026-04-09 15:00:00,changed_mind
18,632,20,2026-08-09 17:00:00,changed_mind
19,634,30,2026-09-01 15:00:00,damaged
20,98,29,2026-02-14 14:00:00,damaged
21,578,2,2026-08-14 15:00:00,not_as_described
22,795,2,2026-08-30 19:00:00,wrong_item
23,575,38,2026-09-27 18:00:00,changed_mind
24,343,12,2026-08-10 20:00:00,not_as_described
25,145,23,2026-03-30 17:00:00,wrong_item
26,82,12,2026-09-04 18:00:00,wrong_item
27,345,36,2026-09-16 21:00:00,not_as_described
28,157,23,2026-06-24 15:00:00,not_as_described
29,201,13,2026-03-01 12:00:00,wrong_item
30,502,32,2026-08-03 17:00:00,changed_mind
31,745,26,2026-06-23 13:00:00,damaged
32,160,16,2026-08-08 15:00:00,changed_mind
33,14,35,2026-09-15 08:00:00,damaged
34,749,8,2026-09-01 20:00:00,wrong_item
35,645,24,2026-01-20 19:00:00,wrong_item
36,858,12,2026-07-17 16:00:00,wrong_item
37,834,8,2026-04-25 20:00:00,changed_mind
38,212,1,2026-06-12 13:00:00,not_as_described
39,156,2,2026-06-29 08:00:00,damaged
40,568,19,2026-07-01 18:00:00,wrong_item
41,687,17,2026-09-23 12:00:00,changed_mind
42,476,29,2026-05-11 19:00:00,damaged
43,312,19,2025-12-28 13:00:00,wrong_item
44,555,7,2026-08-02 13:00:00,wrong_item
45,525,13,2026-09-19 14:00:00,changed_mind
46,642,33,2025-11-06 20:00:00,wrong_item
47,120,9,2026-08-14 16:00:00,changed_mind
48,791,11,2026-05-22 21:00:00,not_as_described
49,533,32,2026-05-10 20:00:00,wrong_item
50,174,30,2026-08-31 10:00:00,not_as_described
51,328,38,2026-04-29 09:00:00,damaged
52,243,29,2026-08-21 09:00:00,wrong_item
53,807,19,2026-04-14 12:00:00,not_as_described
54,649,28,2026-03-22 08:00:00,wrong_item
55,862,38,2026-07-28 20:00:00,not_as_described
56,632,36,2026-08-11 17:00:00,not_as_described
57,262,5,2026-05-16 09:00:00,damaged
58,434,22,2026-08-22 10:00:00,damaged
59,28,9,2026-06-15 15:00:00,wrong_item
60,735,19,2026-01-01 10:00:00,not_as_described
61,550,35,2026-04-11 17:00:00,damaged
62,724,12,2026-01-03 14:00:00,wrong_item
63,317,34,2026-01-02 08:00:00,damaged
64,175,13,2025-12-20 17:00:00,changed_mind
65,279,37,2026-02-09 11:00:00,wrong_item
66,600,14,2025-12-23 14:00:00,wrong_item
67,432,1,2026-07-21 16:00:00,damaged
68,689,39,2025-12-20 19:00:00,not_as_described
69,127,14,2026-08-02 15:00:00,wrong_item
70,628,35,2026-07-31 17:00:00,not_as_described
71,834,13,2026-05-06 20:00:00,damaged
72,412,34,2026-03-28 21:00:00,wrong_item
73,829,38,2026-05-03 12:00:00,wrong_item
74,186,26,2025-11-22 14:00:00,damaged
75,228,36,2026-07-26 20:00:00,damaged
76,553,21,2026-08-11 11:00:00,damaged
77,359,15,2026-08-21 09:00:00,not_as_described
78,395,36,2026-05-13 11:00:00,wrong_item
79,655,16,2026-02-20 17:00:00,damaged
80,528,33,2025-12-31 09:00:00,not_as_described
81,178,12,2026-04-17 12:00:00,wrong_item
82,655,28,2026-02-25 17:00:00,changed_mind
83,639,29,2026-01-11 19:00:00,not_as_described
84,139,29,2026-02-27 09:00:00,changed_mind
85,715,11,2026-07-18 09:00:00,not_as_described
86,659,11,2026-05-27 15:00:00,damaged
87,53,17,2026-09-01 16:00:00,wrong_item
88,163,40,2026-07-17 11:00:00,damaged
89,263,37,2026-05-12 10:00:00,damaged
90,53,17,2026-08-25 16:00:00,not_as_described
91,435,18,2026-08-10 21:00:00,wrong_item
92,29,18,2026-06-24 17:00:00,damaged
93,680,7,2026-07-19 09:00:00,not_as_described
94,636,33,2026-04-05 09:00:00,not_as_described
95,171,17,2026-08-22 10:00:00,damaged
96,704,14,2026-10-08 18:00:00,changed_mind
97,724,21,2025-12-24 14:00:00,damaged
98,480,25,2026-06-19 21:00:00,changed_mind
99,423,26,2026-06-07 21:00:00,not_as_described
100,649,7,2026-03-21 08:00:00,damaged
101,250,20,2025-12-10 08:00:00,changed_mind
102,259,26,2026-04-08 19:00:00,changed_mind
103,121,37,2026-04-06 12:00:00,wrong_item
104,148,14,2026-04-20 15:00:00,wrong_item
105,719,19,2026-01-08 18:00:00,changed_mind
106,263,8,2026-05-25 10:00:00,not_as_described
107,88,21,2025-12-02 15:00:00,damaged
108,425,30,2026-05-31 08:00:00,damaged
109,302,16,2026-09-21 21:00:00,not_as_described
